DATE,r_d,r_f
2017-01-01,1.5,
2017-01-02,1.5,
2017-01-03,1.5,0.53
2017-01-04,1.5,0.52
2017-01-05,1.5,0.51
2017-01-06,1.5,0.52
2017-01-09,1.5,0.5
2017-01-10,1.5,0.51
2017-01-11,1.5,0.51
2017-01-12,1.5,0.51
2017-01-13,1.5,0.52
2017-01-16,1.5,0.52
2017-01-17,1.5,0.54
2017-01-18,1.5,0.52
2017-01-19,1.5,0.51
2017-01-20,1.5,0.49
2017-01-23,1.5,0.51
2017-01-24,1.5,0.5
2017-01-25,1.5,0.49
2017-01-26,1.5,0.5
2017-01-27,1.5,0.51
2017-01-30,1.5,0.51
2017-01-31,1.5,0.52
2017-02-01,1.49,0.5
2017-02-02,1.49,0.51
2017-02-03,1.49,0.5
2017-02-06,1.49,0.53
2017-02-07,1.49,0.53
2017-02-08,1.49,0.53
2017-02-09,1.49,0.53
2017-02-10,1.49,0.54
2017-02-13,1.49,0.52
2017-02-14,1.49,0.54
2017-02-15,1.49,0.53
2017-02-16,1.49,0.52
2017-02-17,1.49,0.52
2017-02-20,1.49,0.52
2017-02-21,1.49,0.53
2017-02-22,1.49,0.52
2017-02-23,1.49,0.51
2017-02-24,1.49,0.51
2017-02-27,1.49,0.5
2017-02-28,1.49,0.53
2017-03-01,1.48,0.62
2017-03-02,1.48,0.66
2017-03-03,1.48,0.7
2017-03-06,1.48,0.73
2017-03-07,1.48,0.75
2017-03-08,1.48,0.72
2017-03-09,1.48,0.72
2017-03-10,1.48,0.73
2017-03-13,1.48,0.78
2017-03-14,1.48,0.77
2017-03-15,1.48,0.72
2017-03-16,1.48,0.72
2017-03-17,1.48,0.72
2017-03-20,1.48,0.75
2017-03-21,1.48,0.76
2017-03-22,1.48,0.76
2017-03-23,1.48,0.75
2017-03-24,1.48,0.77
2017-03-27,1.48,0.77
2017-03-28,1.48,0.77
2017-03-29,1.48,0.77
2017-03-30,1.48,0.77
2017-03-31,1.48,0.75
2017-04-01,1.43,0.75
2017-04-03,1.43,0.78
2017-04-04,1.43,0.78
2017-04-05,1.43,0.79
2017-04-06,1.43,0.78
2017-04-07,1.43,0.81
2017-04-10,1.43,0.81
2017-04-11,1.43,0.81
2017-04-12,1.43,0.8
2017-04-13,1.43,0.8
2017-04-14,1.43,0.8
2017-04-17,1.43,0.82
2017-04-18,1.43,0.81
2017-04-19,1.43,0.8
2017-04-20,1.43,0.78
2017-04-21,1.43,0.78
2017-04-24,1.43,0.8
2017-04-25,1.43,0.81
2017-04-26,1.43,0.82
2017-04-27,1.43,0.8
2017-04-28,1.43,0.79
2017-05-01,1.39,0.82
2017-05-02,1.39,0.81
2017-05-03,1.39,0.84
2017-05-04,1.39,0.84
2017-05-05,1.39,0.88
2017-05-08,1.39,0.9
2017-05-09,1.39,0.9
2017-05-10,1.39,0.89
2017-05-11,1.39,0.87
2017-05-12,1.39,0.86
2017-05-15,1.39,0.89
2017-05-16,1.39,0.89
2017-05-17,1.39,0.89
2017-05-18,1.39,0.91
2017-05-19,1.39,0.9
2017-05-22,1.39,0.92
2017-05-23,1.39,0.91
2017-05-24,1.39,0.92
2017-05-25,1.39,0.92
2017-05-26,1.39,0.92
2017-05-29,1.39,0.92
2017-05-30,1.39,0.92
2017-05-31,1.39,0.96
2017-06-01,1.38,0.96
2017-06-02,1.38,0.96
2017-06-05,1.38,0.95
2017-06-06,1.38,0.96
2017-06-07,1.38,0.98
2017-06-08,1.38,0.99
2017-06-09,1.38,0.99
2017-06-12,1.38,0.97
2017-06-13,1.38,0.99
2017-06-14,1.38,0.99
2017-06-15,1.38,1.0
2017-06-16,1.38,1.01
2017-06-19,1.38,1.01
2017-06-20,1.38,1.0
2017-06-21,1.38,0.97
2017-06-22,1.38,0.94
2017-06-23,1.38,0.95
2017-06-26,1.38,0.98
2017-06-27,1.38,0.99
2017-06-28,1.38,1.0
2017-06-29,1.38,1.02
2017-06-30,1.38,1.01
2017-07-01,1.39,1.01
2017-07-03,1.39,1.04
2017-07-04,1.39,1.04
2017-07-05,1.39,1.03
2017-07-06,1.39,1.02
2017-07-07,1.39,1.03
2017-07-10,1.39,1.03
2017-07-11,1.39,1.03
2017-07-12,1.39,1.03
2017-07-13,1.39,1.03
2017-07-14,1.39,1.02
2017-07-17,1.39,1.05
2017-07-18,1.39,1.05
2017-07-19,1.39,1.09
2017-07-20,1.39,1.13
2017-07-21,1.39,1.14
2017-07-24,1.39,1.15
2017-07-25,1.39,1.16
2017-07-26,1.39,1.11
2017-07-27,1.39,1.09
2017-07-28,1.39,1.06
2017-07-31,1.39,1.05
2017-08-01,1.39,1.06
2017-08-02,1.39,1.06
2017-08-03,1.39,1.06
2017-08-04,1.39,1.06
2017-08-07,1.39,1.01
2017-08-08,1.39,1.04
2017-08-09,1.39,1.04
2017-08-10,1.39,1.03
2017-08-11,1.39,1.01
2017-08-14,1.39,1.01
2017-08-15,1.39,1.02
2017-08-16,1.39,1.0
2017-08-17,1.39,0.98
2017-08-18,1.39,1.0
2017-08-21,1.39,0.99
2017-08-22,1.39,0.99
2017-08-23,1.39,0.98
2017-08-24,1.39,1.0
2017-08-25,1.39,1.01
2017-08-28,1.39,0.97
2017-08-29,1.39,1.01
2017-08-30,1.39,1.01
2017-08-31,1.39,0.99
2017-09-01,1.38,1.0
2017-09-04,1.38,1.0
2017-09-05,1.38,1.01
2017-09-06,1.38,1.05
2017-09-07,1.38,1.03
2017-09-08,1.38,1.02
2017-09-11,1.38,1.04
2017-09-12,1.38,1.02
2017-09-13,1.38,1.02
2017-09-14,1.38,1.03
2017-09-15,1.38,1.03
2017-09-18,1.38,1.04
2017-09-19,1.38,1.03
2017-09-20,1.38,1.02
2017-09-21,1.38,1.02
2017-09-22,1.38,1.01
2017-09-25,1.38,1.04
2017-09-26,1.38,1.05
2017-09-27,1.38,1.05
2017-09-28,1.38,1.04
2017-09-29,1.38,1.04
2017-10-01,1.38,1.04
2017-10-02,1.38,1.0
2017-10-03,1.38,1.05
2017-10-04,1.38,1.06
2017-10-05,1.38,1.05
2017-10-06,1.38,1.05
2017-10-09,1.38,1.05
2017-10-10,1.38,1.06
2017-10-11,1.38,1.08
2017-10-12,1.38,1.07
2017-10-13,1.38,1.07
2017-10-16,1.38,1.09
2017-10-17,1.38,1.07
2017-10-18,1.38,1.07
2017-10-19,1.38,1.08
2017-10-20,1.38,1.09
2017-10-23,1.38,1.08
2017-10-24,1.38,1.1
2017-10-25,1.38,1.1
2017-10-26,1.38,1.09
2017-10-27,1.38,1.08
2017-10-30,1.38,1.1
2017-10-31,1.38,1.13
2017-11-01,1.45,1.16
2017-11-02,1.45,1.15
2017-11-03,1.45,1.16
2017-11-06,1.45,1.17
2017-11-07,1.45,1.2
2017-11-08,1.45,1.21
2017-11-09,1.45,1.22
2017-11-10,1.45,1.21
2017-11-13,1.45,1.22
2017-11-14,1.45,1.24
2017-11-15,1.45,1.23
2017-11-16,1.45,1.25
2017-11-17,1.45,1.26
2017-11-20,1.45,1.28
2017-11-21,1.45,1.28
2017-11-22,1.45,1.27
2017-11-23,1.45,1.27
2017-11-24,1.45,1.26
2017-11-27,1.45,1.25
2017-11-28,1.45,1.28
2017-11-29,1.45,1.27
2017-11-30,1.45,1.25
2017-12-01,1.66,1.25
2017-12-04,1.66,1.28
2017-12-05,1.66,1.28
2017-12-06,1.66,1.28
2017-12-07,1.66,1.27
2017-12-08,1.66,1.26
2017-12-11,1.66,1.31
2017-12-12,1.66,1.32
2017-12-13,1.66,1.28
2017-12-14,1.66,1.3
2017-12-15,1.66,1.29
2017-12-18,1.66,1.36
2017-12-19,1.66,1.35
2017-12-20,1.66,1.36
2017-12-21,1.66,1.33
2017-12-22,1.66,1.31
2017-12-25,1.66,1.31
2017-12-26,1.66,1.45
2017-12-27,1.66,1.42
2017-12-28,1.66,1.37
2017-12-29,1.66,1.37
2018-01-01,1.66,1.37
2018-01-02,1.66,1.42
2018-01-03,1.66,1.39
2018-01-04,1.66,1.39
2018-01-05,1.66,1.37
2018-01-08,1.66,1.43
2018-01-09,1.66,1.42
2018-01-10,1.66,1.4
2018-01-11,1.66,1.41
2018-01-12,1.66,1.41
2018-01-15,1.66,1.41
2018-01-16,1.66,1.43
2018-01-17,1.66,1.42
2018-01-18,1.66,1.43
2018-01-19,1.66,1.42
2018-01-22,1.66,1.43
2018-01-23,1.66,1.42
2018-01-24,1.66,1.41
